區名,診所數量,圖書館數量
大樹,24,3
茂林,1,0
茄萣,21,1
鹽埕,34,1
阿蓮,17,1
苓雅,306,2
那瑪夏,2,0
鼓山,158,2
六龜,6,1
美濃,21,1
內門,3,4
左營,332,2
岡山,109,2
湖內,14,1
旗津,12,1
新興,179,2
仁武,60,2
前鎮,184,3
路竹,40,1
橋頭,26,1
鳥松,18,1
鳳山,381,4
永安,5,1
林園,39,2
旗山,50,1
燕巢,18,1
梓官,22,2
桃源,1,0
小港,98,1
楠梓,168,3
甲仙,3,1
杉林,2,1
田寮,2,1
前金,81,2
大社,31,1
彌陀,9,2
大寮,64,2
三民,506,4
